id,file,category,expected_alt,model,condition,alt,rater_correct,rater_severity,rater_notes,second_rater_correct,second_rater_severity,second_rater_notes
complex_0005,images/complex_0005.png,complex,"Bar chart titled Books borrowed by genre. Fiction 76, History 41, Poetry 22, Science 35.",Qwen/Qwen2-VL-2B-Instruct,wcag,Book borrowed by genre,,,,,,
complex_0022,images/complex_0022.png,complex,"Line chart titled Average delivery time. North 32, South 44, East 27, West 51.",Qwen/Qwen2-VL-2B-Instruct,wcag,Empty,,,,,,
complex_0028,images/complex_0028.png,complex,"Pie chart titled Cups served per day. Mon 19, Tue 17, Wed 18, Thu 20, Fri 26.",Qwen/Qwen2-VL-2B-Instruct,wcag,Empty,,,,,,
complex_0023,images/complex_0023.png,complex,"Pie chart titled Site visits by device. Mobile 65, Desktop 24, Tablet 11.",Qwen/Qwen2-VL-2B-Instruct,wcag_context,"The image is a pie chart showing the distribution of site visits by device. The chart is used to represent the percentage of visits made on different devices, with ""Mobile"" representing 65%, ""Desktop"" representing 24%, and ""Tablet"" representing 11%. The purpose of",,,,,,
complex_0032,images/complex_0032.png,complex,"Stacked bar chart titled Members by plan. Free 54, Standard 31, Premium 15.",Qwen/Qwen2-VL-2B-Instruct,wcag_context,"The image is a bar chart that visually represents the distribution of members across different plan types. The chart is titled ""Members by plan"" and is part of a larger section on the page. The purpose of the chart is to provide a clear and concise visual representation of the data, making it easy for",,,,,,
complex_0036,images/complex_0036.png,complex,"Stacked bar chart titled Stock by warehouse. Bristol 73, Leeds 46, Cardiff 38, Derby 25.",Qwen/Qwen2-VL-2B-Instruct,wcag_context,"The image is a bar chart that visually represents the distribution of stock across different warehouses. The chart is titled ""Stock by warehouse"" and is displayed on a webpage. The purpose of the chart is to provide a visual representation of the stock distribution among the four warehouses: Bristol, Leeds, Cardiff, and",,,,,,
decorative_0022,images/decorative_0022.png,decorative,,Qwen/Qwen2-VL-2B-Instruct,wcag,Empty,,,,,,
decorative_0043,images/decorative_0043.png,decorative,,Qwen/Qwen2-VL-2B-Instruct,wcag,Empty,,,,,,
decorative_0057,images/decorative_0057.png,decorative,,Qwen/Qwen2-VL-2B-Instruct,wcag,Empty,,,,,,
decorative_0023,images/decorative_0023.png,decorative,,Qwen/Qwen2-VL-2B-Instruct,wcag_context,The image is a decorative element used to separate sections on a webpage. It is not related to any specific content or action.,,,,,,
decorative_0046,images/decorative_0046.png,decorative,,Qwen/Qwen2-VL-2B-Instruct,wcag_context,"The image is a decorative element used to separate sections on the page. It is not related to the content of the text, which is about how the company works.",,,,,,
decorative_0056,images/decorative_0056.png,decorative,,Qwen/Qwen2-VL-2B-Instruct,wcag_context,Empty,,,,,,
functional_0012,images/functional_0012.png,functional,Close,Qwen/Qwen2-VL-2B-Instruct,wcag,Empty,,,,,,
functional_0044,images/functional_0044.png,functional,Send message,Qwen/Qwen2-VL-2B-Instruct,wcag,Send message,,,,,,
functional_0065,images/functional_0065.png,functional,Pay with Harbour Pay,Qwen/Qwen2-VL-2B-Instruct,wcag,Click to visit Harbour Pay.,,,,,,
functional_0047,images/functional_0047.png,functional,Try again,Qwen/Qwen2-VL-2B-Instruct,wcag_context,"The image is a button with the text ""Try again"" and an icon of a refresh arrow. Its purpose is to provide a button for users to try again after an error or failure, such as when loading orders.",,,,,,
functional_0052,images/functional_0052.png,functional,Tidewater Bank home,Qwen/Qwen2-VL-2B-Instruct,wcag_context,The image is a logo for Tidewater Bank. It is used to identify the bank and is placed in a header section of a webpage. The purpose of the image is to represent the bank and provide a visual link to their website.,,,,,,
functional_0065,images/functional_0065.png,functional,Pay with Harbour Pay,Qwen/Qwen2-VL-2B-Instruct,wcag_context,The button is a link to the Harbour Pay payment gateway.,,,,,,
